"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"Human Punishment: The Beginning",3,6,180,14,39,9.24,9942,2.92,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Pick-up and Deliver, Set Collection, Team-Based Game, Traitor Game, Variable Player Powers, Voting","Basic",1,"5"
"Super Goal!",2,2,15,6,99,6.47,9943,1.25,"Dice Rolling, Push Your Luck, Roll , Spin and Move","Basic",5,"4"
"Demyansk Shield: the Frozen Fortress, February-May 1942",2,2,240,16,53,7.51,9944,3.17,"Dice Rolling, Hexagon Grid","Wargames",5,"4"
"Strike Them a Blow: 1864 North Anna River",2,4,600,12,48,7.5,9945,3.3,"Dice Rolling, Hexagon Grid, Simulation","Wargames",16,"4"
"Squirrel Rush",2,6,30,6,105,6.36,9946,1.75,"Grid Movement, Hand Management, Tile Placement","Basic",6,"4"
"Black Hat",2,6,45,10,190,6.1,9947,2.4,"Area Movement, Hand Management, Modular Board, Set Collection, Trick-taking","Basic",7,"4"
"Tribes",4,8,240,0,87,6.49,9948,2.08,"Cooperative Game, Role Playing, Voting","Thematic Games",24,"4"
"Chef Alfredo",2,4,15,5,155,6.04,9949,1,"Memory","Children's Games",7,"4"
"Karo",2,2,20,8,83,6.55,9950,2,"Modular Board","Abstract Games",17,"4"
"Moons",3,6,20,8,270,5.9,9951,1.5,"Set Collection, Trick-taking","Basic",5,"3"
"Playboss",3,9,180,16,117,6.28,9952,2.5,"Auction,Bidding, Commodity Speculation, Simulation, Trading","Basic",53,"4"
"Drive on Kursk:  July 1943",2,2,0,0,64,6.93,9953,2.75,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Variable Phase Order","Wargames",14,"4"
"Inferno sugli Altipiani, 1916",2,2,240,12,43,7.81,9954,3.25,"Hexagon Grid","Wargames",5,"4"
"Baldrick's Tomb",1,4,30,8,124,6.24,9955,1.55,"Dice Rolling, Push Your Luck, Role Playing","Basic",10,"4"
"Bonbons",2,6,20,7,189,6.02,9956,1.14,"Memory","Children's Games, Family Games",11,"4"
"Le Vol de l'Aigle",3,10,600,12,43,7.62,9957,2.92,"Paper-and-Pencil, Secret Unit Deployment, Simulation, Simultaneous Action Selection","Wargames",17,"4"
"7 Symbols, and 7 Nations",3,4,20,8,47,7.15,9958,2.2,"Trick-taking","Basic",7,"4"
"Jasper and Zot",1,1,30,7,173,6.1,9959,1.56,"Chit-Pull System, Dice Rolling","Basic",11,"4"
"Cultistorm",2,5,120,13,79,7.13,9960,2.78,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Role Playing, Set Collection, Variable Player Powers","Basic",3,"4"
"Darkest December: Battle of the Bulge 1944",2,2,180,12,50,7.48,9961,3.78,"Hexagon Grid, Secret Unit Deployment, Simulation","Wargames",18,"4"
"The First Jihad: The Rise of Islam 632-750",1,1,120,10,38,7.89,9962,3.63,"Area Majority , Influence, Campaign , Battle Card Driven, Dice Rolling, Events, Simulation, Solo , Solitaire Game","Wargames",2,"4"
"Polite Society: The Jane Austen Board Game",2,5,30,8,82,6.76,9963,1.5,"Card Drafting, Dice Rolling, Hand Management","Basic",4,"4"
"Creepy Falls",2,5,90,12,94,6.61,9964,2.86,"Area Majority , Influence, Variable Player Powers, Worker Placement","Basic",4,"4"
"Clash of Titans: The Tank Battle for Kursk, 1943",1,2,180,0,54,6.99,9965,2.88,"Hexagon Grid","Wargames",24,"4"
"Pressure Cooker",2,4,45,8,138,6.16,9966,1.88,"Pattern Recognition, Pick-up and Deliver, Set Collection","Basic",8,"4"
"The Last Days of the Grande Armee: The Four Days of Waterloo",2,2,180,0,91,6.56,9967,3.07,"Dice Rolling, Hexagon Grid, Movement Points, Simulation","Wargames",24,"4"
"Dinosaur Table Battles",2,2,45,0,41,7.49,9968,2,"Dice Rolling, Drafting","Basic",2,"4"
"Age of Craft",2,4,40,10,66,6.68,9969,2,"Dice Rolling, Trading","Basic",8,"4"
"Ready to Rock!",3,9,20,9,127,6.28,9970,1.86,"Area Movement, Card Drafting, Point to Point Movement","Basic",10,"4"
"Spy Web",2,2,30,8,146,6.11,9971,1.58,"Secret Unit Deployment, Tile Placement","Basic",25,"4"
"DREIst!",1,4,20,8,130,6.16,9972,1.67,"Hand Management","Basic",6,"4"
"Diam",2,4,10,8,134,6.13,9973,2.18,"Not mentioned","Abstract Games",19,"4"
"Attangle",2,2,45,8,55,6.95,9974,2.8,"Not mentioned","Abstract Games",16,"4"
"Assault on Icecrown Citadel",4,4,40,12,49,7.34,9975,2.88,"Hand Management, Variable Player Powers","Basic",11,"4"
"Veritas",3,6,60,12,81,6.61,9976,2.36,"Area Majority , Influence, Pick-up and Deliver","Basic",9,"4"
"Sixis",2,4,15,0,111,6.24,9977,1.43,"Dice Rolling","Basic",14,"4"
"C.O.A.L.: Combat-Oriented Armored League",2,4,10,8,79,6.79,9978,2.43,"Card Drafting, Memory, Variable Player Powers","Basic",9,"4"
"Pungi",3,5,20,8,98,6.32,9979,1.2,"Hand Management","Basic",5,"4"
"Unlur",2,2,20,0,35,7.85,9980,3,"Pattern Building","Abstract Games",20,"4"
"Mad Magazine Card Game",2,6,30,8,400,5.85,9981,1.11,"Hand Management, Lose a Turn, Matching, Take That","Basic",43,"3"
"Zoo-ography",1,4,45,12,39,8,9982,2,"Card Drafting, Pattern Building, Set Collection, Tile Placement","Basic",3,"4"
"Rok 1920",2,3,120,12,47,7.6,9983,3.73,"Hexagon Grid","Wargames",27,"4"
"Black Jacky",2,6,20,10,109,6.33,9984,2,"Not mentioned","Basic",4,"4"
"Alchemidus",1,127,30,10,91,6.37,9985,1.5,"Dice Rolling","Basic",7,"4"
"Merchants of the Dark Road",1,4,120,12,47,8.23,9986,2.92,"Rondel, Worker Placement with Dice Workers","Strategy Games",1,"5"
"1834",3,5,240,0,37,7.56,9987,4,"Auction,Bidding, Stock Holding, Tile Placement","Basic",4,"4"
"Rail USA",3,5,40,12,57,6.85,9988,2.38,"Network and Route Building, Pick-up and Deliver, Stock Holding","Basic",8,"4"
"The Great Pacific War: The Second World War in the Pacific",2,5,480,12,81,6.67,9989,4.1,"Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Simulation","Wargames",19,"4"
"Cairo Corridor",2,2,20,10,47,7.28,9990,2,"Area Majority , Influence, Network and Route Building, Tile Placement","Abstract Games",9,"4"
"Vidrado",2,4,30,7,37,8.79,9991,3,"Card Drafting, Contracts, Hand Management","Basic",2,"5"
"Futboard",2,0,45,12,52,7.3,9992,1.25,"Area Movement, Dice Rolling, Roll , Spin and Move, Simultaneous Action Selection, Tile Placement","Basic",4,"4"
"This Is Not a Test: Post-Apocalyptic Skirmish Rules",2,2,90,0,33,8.8,9993,2.67,"Action Points, Area Movement, Dice Rolling, Line of Sight, Measurement Movement, Scenario , Mission , Campaign Game, Secret Unit Deployment, Simulation, Time Track, Variable Player Powers","Basic",9,"5"
"My First Stone Age: The Card Game",2,4,30,4,108,6.31,9994,1,"Memory, Set Collection","Basic",5,"4"
"1812: The Campaign of Napoleon in Russia",0,0,0,12,66,6.83,9995,2.17,"Area Movement, Dice Rolling, Hexagon Grid","Wargames",50,"4"
"Cauldron Quest",2,4,20,6,111,6.34,9996,1.2,"Cooperative Game, Dice Rolling, Grid Movement","Basic",7,"4"
"Critters Below",1,6,60,14,94,6.43,9997,2.22,"Memory, Player Elimination, Team-Based Game, Time Track, Variable Player Powers, Voting","Basic",5,"4"
"13 Sheep",1,10,8,8,93,6.53,9998,1,"Dice Rolling, Line Drawing, Paper-and-Pencil","Basic",3,"4"
"Top 5 Rummy",2,4,40,8,64,6.71,9999,1.8,"Set Collection","Basic",9,"4"
"StoryLine: Fairy Tales",3,8,30,8,172,6.15,10000,1,"Simultaneous Action Selection, Storytelling, Voting","Basic",6,"4"
"Amphipolis",1,4,30,10,131,6.18,10001,1.8,"Set Collection","Family Games",7,"4"
