"name","min_players","max_players","play_time","min_age","users_rated","rating_average","bgg_rank","complexity_average","mechanics","domains","game_age","Stars"
"Gloomhaven",1,4,120,14,42055,8.79,1,3.86,"Action Queue, Action Retrieval, Campaign , Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario , Mission , Campaign Game, Simultaneous Action Selection, Solo , Solitaire Game, Storytelling, Variable Player Powers","Strategy Games, Thematic Games",5,"5"
"Pandemic Legacy: Season 1",2,4,60,13,41643,8.61,2,2.84,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games",7,"5"
"Brass: Birmingham",2,4,120,14,19217,8.66,3,3.91,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees , Tech Tracks, Turn Order: Stat-Based, Variable Set-up","Strategy Games",4,"5"
"Terraforming Mars",1,5,120,12,64864,8.43,4,3.24,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo , Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers","Strategy Games",6,"5"
"Twilight Imperium: Fourth Edition",3,6,480,14,13468,8.7,5,4.22,"Action Drafting, Area Majority , Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games",5,"5"
"Gloomhaven: Jaws of the Lion",1,4,120,14,8392,8.87,6,3.55,"Action Queue, Campaign , Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario , Mission , Campaign Game, Simultaneous Action Selection, Solo , Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games",2,"5"
"Through the Ages: A New Story of Civilization",2,4,120,14,23061,8.43,7,4.41,"Action Points, Auction,Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That","Strategy Games",7,"5"
"Gaia Project",1,4,150,12,16352,8.49,8,4.35,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo , Solitaire Game, Tech Trees , Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource","Strategy Games",5,"5"
"Star Wars: Rebellion",2,4,240,14,23081,8.42,9,3.71,"Area Majority , Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers","Thematic Games",6,"5"
"Twilight Struggle",2,2,180,13,40814,8.29,10,3.59,"Action,Event, Advantage Token, Area Majority , Influence, Campaign , Battle Card Driven, Dice Rolling, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War","Strategy Games, Wargames",17,"5"
"Great Western Trail",2,4,150,12,29457,8.3,11,3.71,"Deck Bag and Pool Building, Hand Management, Ownership, Point to Point Movement, Rondel, Set Collection, Track Movement, Variable Set-up","Strategy Games",6,"5"
"War of the Ring: Second Edition",2,4,180,13,13725,8.49,12,4.14,"Area Majority , Influence, Area Movement, Campaign , Battle Card Driven, Card Play Conflict Resolution, Deck Bag and Pool Building, Dice Rolling, Hand Management, Hidden Movement, Movement Points, Simulation, Team-Based Game","Thematic Games, Wargames",10,"5"
"Spirit Island",1,4,120,13,25722,8.35,13,4.01,"Action Retrieval, Area Majority , Influence, Campaign , Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo , Solitaire Game, Variable Player Powers","Strategy Games",5,"5"
"Scythe",1,5,115,14,57871,8.24,14,3.41,"Area Majority , Influence, Card Play Conflict Resolution, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Moving Multiple Units, Narrative Choice , Paragraph, Solo , Solitaire Game, Tech Trees , Tech Tracks, Variable Player Powers","Strategy Games",6,"5"
"The Castles of Burgundy",2,4,90,12,46507,8.13,15,3,"Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers","Strategy Games",11,"5"
"Terra Mystica",2,5,150,12,39284,8.14,16,3.96,"End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees , Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource","Strategy Games",10,"5"
"7 Wonders Duel",2,2,30,10,60302,8.11,17,2.23,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War","Strategy Games",7,"5"
"Concordia",2,5,100,13,28105,8.12,18,3.03,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up","Strategy Games",9,"5"
"Brass: Lancashire",2,4,120,14,19400,8.17,19,3.86,"Hand Management, Income, Loans, Network and Route Building","Strategy Games",15,"5"
"Wingspan",1,5,70,10,43165,8.11,20,2.42,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo , Solitaire Game","Family Games, Strategy Games",3,"5"
"A Feast for Odin",1,4,120,12,17377,8.2,21,3.84,"Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo , Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement","Strategy Games",6,"5"
"Arkham Horror: The Card Game",1,2,120,14,28577,8.17,22,3.44,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario , Mission , Campaign Game, Solo , Solitaire Game, Variable Player Powers","Customizable Games, Thematic Games",6,"5"
"Viticulture Essential Edition",1,6,90,13,29486,8.08,23,2.91,"Contracts, Hand Management, Solo , Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",7,"5"
"Nemesis",1,5,180,12,12290,8.4,24,3.35,"Campaign , Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo , Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers","Thematic Games",4,"5"
"Orléans",2,4,90,12,22244,8.09,25,3.05,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive","Strategy Games",8,"5"
"Mage Knight Board Game",1,4,240,14,27850,8.1,26,4.31,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo , Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games",11,"5"
"Root",2,4,90,10,24412,8.1,27,3.67,"Action Queue, Action Retrieval, Area Majority , Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers","Strategy Games, Wargames",4,"5"
"Puerto Rico",3,5,150,12,63128,7.99,28,3.28,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order","Strategy Games",20,"4"
"Food Chain Magnate",2,5,240,14,13863,8.14,29,4.2,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection","Strategy Games",7,"5"
"Caverna: The Cave Farmers",1,7,210,12,28123,8.02,30,3.79,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo , Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement","Strategy Games",9,"5"
"Agricola",1,5,150,12,63498,7.94,31,3.64,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo , Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement","Strategy Games",15,"4"
"Blood Rage",2,4,90,14,33940,8,32,2.88,"Action Points, Area Majority , Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection","Strategy Games",7,"4"
"Mansions of Madness: Second Edition",1,5,180,14,25116,8.06,33,2.69,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario , Mission , Campaign Game, Solo , Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers","Thematic Games",6,"5"
"The 7th Continent",1,4,1000,14,16868,8.15,34,2.87,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario , Mission , Campaign Game, Solo , Solitaire Game, Storytelling, Variable Player Powers","Thematic Games",5,"5"
"Pandemic Legacy: Season 2",2,4,60,14,12100,8.15,35,3.25,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games",5,"5"
"Everdell",1,4,80,13,19552,8.08,36,2.81,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo , Solitaire Game, Variable Set-up, Worker Placement","Family Games, Strategy Games",4,"5"
"Maracaibo",1,4,120,12,7645,8.29,37,3.87,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice , Paragraph, Point to Point Movement, Race, Rondel, Scenario , Mission , Campaign Game, Set Collection, Solo , Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees , Tech Tracks, Track Movement, Variable Set-up","Strategy Games",3,"5"
"Kingdom Death: Monster",1,4,180,17,7553,8.66,38,4.25,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo , Solitaire Game, Storytelling","Thematic Games",7,"5"
"Power Grid",2,6,120,12,56214,7.86,39,3.27,"Auction,Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based","Strategy Games",18,"4"
"Tzolk'in: The Mayan Calendar",2,4,90,13,30790,7.9,40,3.67,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement","Strategy Games",10,"4"
"The Crew: The Quest for Planet Nine",2,5,20,10,15027,8.02,41,1.99,"Communication Limits, Cooperative Game, Hand Management, Scenario , Mission , Campaign Game, Trick-taking","Family Games, Strategy Games",3,"5"
"Mechs vs. Minions",2,4,120,14,14056,8.05,42,2.41,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers","Strategy Games, Thematic Games",6,"5"
"Underwater Cities",1,4,150,12,9979,8.13,43,3.58,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo , Solitaire Game, Turn Order: Stat-Based, Worker Placement","Strategy Games",4,"5"
"Star Wars: Imperial Assault",1,5,120,14,20512,8.02,44,3.3,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario , Mission , Campaign Game, Team-Based Game, Variable Player Powers","Thematic Games",8,"5"
"Clans of Caledonia",1,4,120,12,14835,8.01,45,3.46,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo , Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up","Strategy Games",5,"5"
"Anachrony",1,4,120,15,11585,8.1,46,4,"Dice Rolling, Solo , Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",5,"5"
"Le Havre",1,5,150,12,26494,7.87,47,3.74,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo , Solitaire Game, Worker Placement","Strategy Games",14,"4"
"Too Many Bones",1,4,120,12,6055,8.45,48,3.85,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo , Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers","Strategy Games, Thematic Games",5,"5"
"Through the Ages: A Story of Civilization",2,4,120,12,18004,7.93,49,4.17,"Action Points, Auction,Bidding, Auction: Dutch, Card Drafting, Hand Management","Strategy Games",16,"4"
"Azul",2,4,45,8,53615,7.83,50,1.77,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action","Abstract Games, Family Games",5,"4"
"Marvel Champions: The Card Game",1,4,90,14,9616,8.2,51,2.8,"Cooperative Game, Deck Construction, Hand Management, Scenario , Mission , Campaign Game, Solo , Solitaire Game, Variable Player Powers, Variable Set-up","Customizable Games",3,"5"
"Eclipse",2,6,180,14,26165,7.89,52,3.7,"Area Majority , Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers","Strategy Games",11,"4"
"Clank! Legacy: Acquisitions Incorporated",2,4,120,13,3295,8.79,53,2.7,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck","Thematic Games",3,"5"
"Android: Netrunner",2,2,45,14,26748,7.87,54,3.38,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers","Customizable Games",10,"4"
"Robinson Crusoe: Adventures on the Cursed Island",1,4,120,14,34179,7.84,55,3.78,"Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice , Paragraph, Solo , Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement","Thematic Games",10,"4"
"The Voyages of Marco Polo",2,4,100,12,20240,7.87,56,3.19,"Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers","Strategy Games",7,"4"
"The Gallerist",1,4,150,13,9705,8.04,57,4.28,"Commodity Speculation, Investment, Set Collection, Solo , Solitaire Game, Worker Placement","Strategy Games",7,"5"
"Barrage",1,4,120,14,6500,8.22,58,4.02,"Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo , Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement","Strategy Games",3,"5"
"Race for the Galaxy",2,4,60,12,46393,7.76,59,2.98,"Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers","Strategy Games",15,"4"
"Fields of Arle",1,2,120,13,8111,8.09,60,3.88,"Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo , Solitaire Game, Worker Placement","Strategy Games",8,"5"
"7 Wonders",2,7,30,10,84371,7.75,61,2.33,"Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Family Games, Strategy Games",12,"4"
"Teotihuacan: City of Gods",1,4,120,14,12970,7.95,62,3.77,"Area Movement, Rondel, Set Collection, Solo , Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers","Strategy Games",4,"4"
"Clank!: A Deck-Building Adventure",2,4,60,12,27893,7.81,63,2.21,"Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up","Family Games, Strategy Games",6,"4"
"The Quacks of Quedlinburg",2,4,45,10,22327,7.82,64,1.94,"Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up","Family Games",4,"4"
"Crokinole",2,4,30,8,12197,7.91,65,1.25,"Flicking, Team-Based Game","Family Games",146,"4"
"Five Tribes",2,4,80,13,32265,7.78,66,2.86,"Auction,Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource","Strategy Games",8,"4"
"Dominant Species",2,6,240,14,18018,7.85,67,4.04,"Area Majority , Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement","Strategy Games",12,"4"
"On Mars",1,4,150,14,5781,8.3,68,4.63,"Area Majority , Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo , Solitaire Game, Tech Trees , Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement","Strategy Games",2,"5"
"Lisboa",1,4,120,12,6693,8.18,69,4.57,"Area Majority , Influence, Card Drafting, Hand Management, Solo , Solitaire Game, Tile Placement","Strategy Games",5,"5"
"Aeon's End",1,4,60,14,10899,8.02,70,2.76,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo , Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up","Strategy Games",6,"5"
"Lords of Waterdeep",2,5,120,12,45929,7.75,71,2.46,"Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement","Strategy Games",10,"4"
"Paladins of the West Kingdom",1,4,120,12,8248,8.07,72,3.67,"Card Drafting, Market, Solo , Solitaire Game, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",3,"5"
"Keyflower",2,6,120,12,19003,7.8,73,3.35,"Auction,Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",10,"4"
"Agricola (Revised Edition)",1,4,120,12,9491,8.04,74,3.5,"Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo , Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers","Strategy Games",6,"5"
"Pax Pamir: Second Edition",1,5,120,13,4373,8.43,75,3.75,"Action Points, Area Majority , Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo , Solitaire Game","Strategy Games",3,"5"
"Tainted Grail: The Fall of Avalon",1,4,120,14,6134,8.41,76,3.28,"Area Movement, Campaign , Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice , Paragraph, Push Your Luck, Role Playing, Solo , Solitaire Game, Storytelling, Variable Player Powers","Thematic Games",3,"5"
"Caylus",2,5,150,12,26796,7.77,77,3.8,"Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement","Strategy Games",17,"4"
"Architects of the West Kingdom",1,5,80,12,16886,7.83,78,2.77,"Drafting, Solo , Solitaire Game, Variable Player Powers, Worker Placement","Strategy Games",4,"4"
"El Grande",2,5,120,12,23545,7.75,79,3.05,"Action Drafting, Area Majority , Influence, Area Movement, Auction,Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based","Strategy Games",27,"4"
"Twilight Imperium: Third Edition",3,6,240,14,18302,7.84,80,4.25,"Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games",17,"4"
"Battlestar Galactica: The Board Game",3,6,180,14,32889,7.74,81,3.24,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting","Thematic Games",14,"4"
"Eldritch Horror",1,8,240,14,29347,7.81,82,3.32,"Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo , Solitaire Game, Stat Check Resolution, Variable Player Powers","Thematic Games",9,"4"
"Troyes",2,4,90,12,18930,7.76,83,3.46,"Area Majority , Influence, Dice Rolling, End Game Bonuses, Hidden Victory Points, Lose a Turn, Ownership, Set Collection, Solo , Solitaire Game, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement, Different Worker Types","Strategy Games",12,"4"
"Rising Sun",3,5,120,14,15767,7.88,84,3.28,"Action Drafting, Alliances, Area Majority , Influence, Area Movement, Auction: Sealed Bid, Betting and Bluffing, Drafting, End Game Bonuses, Follow, Force Commitment, Negotiation, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers, Variable Set-up","Strategy Games",4,"4"
"Dominion: Intrigue",2,4,30,13,30118,7.72,85,2.42,"Deck Bag and Pool Building, Hand Management","Strategy Games",13,"4"
"Mombasa",2,4,150,12,10954,7.88,86,3.9,"Action Queue, Area Majority , Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Investment, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement","Strategy Games",7,"4"
"Grand Austria Hotel",2,4,120,12,12604,7.85,87,3.22,"Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Player Powers, Variable Set-up","Strategy Games",7,"4"
"The Lord of the Rings: Journeys in Middle-Earth",1,5,120,14,8822,8.08,88,2.57,"Cooperative Game, Deck Bag and Pool Building, Modular Board, Role Playing, Scenario , Mission , Campaign Game, Solo , Solitaire Game, Variable Player Powers","Thematic Games",3,"5"
"Patchwork",2,2,30,8,46536,7.66,89,1.64,"Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource","Abstract Games, Family Games",8,"4"
"Raiders of the North Sea",2,4,80,12,15990,7.79,90,2.53,"Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",7,"4"
"Russian Railroads",2,4,120,12,14845,7.77,91,3.41,"End Game Bonuses, Worker Placement","Strategy Games",9,"4"
"Tigris & Euphrates",2,4,90,12,25321,7.7,92,3.51,"Area Majority , Influence, Area Movement, Connections, Hand Management, Highest-Lowest Scoring, Income, Pieces as Map, Set Collection, Square Grid, Tile Placement","Strategy Games",25,"4"
"Codenames",2,8,15,14,67688,7.62,93,1.29,"Communication Limits, Memory, Push Your Luck, Team-Based Game","Party Games",7,"4"
"Roll for the Galaxy",2,5,45,13,26421,7.67,94,2.77,"Action Retrieval, Contracts, Dice Rolling, Follow, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Strategy Games",8,"4"
"Trajan",2,4,120,12,14728,7.76,95,3.65,"Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection","Strategy Games",11,"4"
"Lorenzo il Magnifico",2,4,120,12,9140,7.89,96,3.28,"Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers","Strategy Games",6,"4"
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1,8,120,13,17236,7.73,97,2.68,"Cooperative Game, Solo , Solitaire Game, Storytelling","Thematic Games",40,"4"
"Dominion",2,4,30,13,78089,7.62,98,2.36,"Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That, Variable Set-up","Strategy Games",14,"4"
"Pandemic",2,4,45,8,102214,7.61,99,2.41,"Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Family Games, Strategy Games",14,"4"
"Pandemic: Iberia",2,5,45,8,8359,7.92,100,2.58,"Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo , Solitaire Game, Trading, Variable Player Powers","Strategy Games",6,"4"
"Champions of Midgard",2,4,90,10,13345,7.77,101,2.59,"Dice Rolling, Set Collection, Variable Player Powers, Worker Placement","Strategy Games",7,"4"
"Decrypto",3,8,45,12,11690,7.79,102,1.83,"Communication Limits, Targeted Clues, Team-Based Game","Party Games",4,"4"
"Kemet",2,5,120,13,16277,7.72,103,3.01,"Action Points, Area Majority , Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management","Strategy Games",10,"4"
"Yokohama",2,4,90,14,8865,7.85,104,3.27,"Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types","Strategy Games",6,"4"
"Clank! In! Space!: A Deck-Building Adventure",2,4,90,12,9188,7.86,105,2.54,"Card Drafting, Deck Bag and Pool Building, Modular Board, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck","Strategy Games",5,"4"
"Forbidden Stars",2,4,180,14,7516,7.97,106,3.83,"Area Majority , Influence, Area Movement, Card Play Conflict Resolution, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers","Strategy Games",7,"4"
"Inis",2,4,90,14,12665,7.8,107,2.88,"Action Drafting, Area Majority , Influence, Area Movement, Campaign , Battle Card Driven, Card Drafting, Hand Management, King of the Hill, Map Addition, Modular Board, Variable Phase Order, Variable Set-up","Strategy Games",6,"4"
"The Isle of Cats",1,4,90,8,6450,8.04,108,2.32,"Card Drafting, Drafting, Grid Coverage, Hidden Victory Points, Income, Pattern Building, Set Collection, Solo , Solitaire Game, Square Grid, Tile Placement, Turn Order: Stat-Based","Family Games, Strategy Games",3,"5"
"Star Wars: X-Wing Miniatures Game",2,2,45,14,23061,7.69,109,2.49,"Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simulation, Simultaneous Action Selection, Variable Player Powers","Customizable Games, Wargames",10,"4"
"Alchemists",2,4,120,13,18250,7.67,110,3.9,"Action Drafting, Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive","Strategy Games",8,"4"
"Stone Age",2,4,90,10,44975,7.57,111,2.48,"Contracts, Dice Rolling, End Game Bonuses, Set Collection, Turn Order: Progressive, Worker Placement","Family Games, Strategy Games",14,"4"
"Legendary Encounters: An Alien Deck Building Game",1,5,60,17,11251,7.79,112,2.7,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Events, Hidden Roles, Player Elimination, Solo , Solitaire Game, Team-Based Game, Variable Player Powers","Thematic Games",8,"4"
"Vinhos Deluxe Edition",1,4,135,14,4245,8.21,113,4.05,"Area Majority , Influence, Variable Phase Order, Worker Placement","Strategy Games",6,"5"
"Endeavor: Age of Sail",2,5,90,13,6265,8.02,114,2.8,"Area Majority , Influence, Card Drafting, Point to Point Movement, Set Collection, Tech Trees , Tech Tracks","Strategy Games",4,"5"
"Star Realms",2,2,20,12,35947,7.58,115,1.94,"Card Drafting, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That","Strategy Games",8,"4"
"Descent: Journeys in the Dark (Second Edition)",1,5,120,14,22715,7.69,116,3.2,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board, Movement Points, Multiple Maps, Scenario , Mission , Campaign Game, Team-Based Game, Variable Player Powers","Thematic Games",10,"4"
"Cartographers",1,100,45,10,10754,7.76,117,1.91,"Bingo, Grid Coverage, Line Drawing, Paper-and-Pencil, Solo , Solitaire Game","Family Games",3,"4"
"Res Arcana",2,4,60,12,9719,7.8,118,2.59,"Card Drafting, Hand Management, Race, Take That, Turn Order: Pass Order, Variable Player Powers","Strategy Games",3,"4"
"Age of Steam",1,6,120,13,8871,7.78,119,3.9,"Auction,Bidding, Catch the Leader, Connections, Dice Rolling, Loans, Network and Route Building, Pick-up and Deliver, Player Elimination, Scenario , Mission , Campaign Game, Selection Order Bid, Tile Placement, Turn Order: Auction, Victory Points as a Resource","Strategy Games",20,"4"
"Istanbul",2,5,60,10,25234,7.58,120,2.58,"Contracts, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pick-up and Deliver, Race, Variable Set-up, Worker Placement","Strategy Games",8,"4"
"Ticket to Ride: Europe",2,5,60,8,58608,7.55,121,1.94,"Card Drafting, Connections, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection","Family Games",17,"4"
